10,"※大項目","地域コード","地域識別コード","境域年次(2010)","境域年次(2000)","","人口　平成22年　(a)","人口　平成17年（組替） 2)","平成17年〜22年の人口増減数 2)","平成17年〜22年の人口増減率（％） 2)","面積（km2）　(b) 1)2)","人口密度"
1348,"","13001","b","2010","2000","東京都 市部",13072823,12488564,584259,4.6783521308,1405.76,9299.5
1349,"","13002","b","2010","2000","東京都 郡部",86565,88047,-1482,-1.6831919316,781.74,110.7
1350,"","13100","1","2010","2000","特別区部",8945695,8489653,456042,5.3717389863,621.83,14386.1
1351,"","13101","0","2010","2000","千代田区",47115,41778,5337,12.7746660922,11.64,4047.7
1352,"","13102","0","2010","2000","中央区",122762,98399,24363,24.7593979614,10.18,12059.1
1353,"","13103","0","2010","2000","港区",205131,185861,19270,10.3679631553,20.34,10085.1
1354,"","13104","0","2010","2000","新宿区",326309,305716,20593,6.7359902655,18.23,17899.6
1355,"","13105","0","2010","2000","文京区",206626,189632,16994,8.9615676679,11.31,18269.3
1356,"","13106","0","2010","2000","台東区",175928,165186,10742,6.5029724069,10.08,17453.2
1357,"","13107","0","2010","2000","墨田区",247606,231173,16433,7.1085291102,13.75,18007.7
1358,"","13108","0","2010","2000","江東区",460819,420845,39974,9.4985089522,39.94,11537.8
1359,"","13109","0","2010","2000","品川区",365302,346357,18945,5.4697898411,22.72,16078.4
1360,"","13110","0","2010","2000","目黒区",268330,264064,4266,1.6155174503,14.70,18253.7
1361,"","13111","0","2010","2000","大田区",693373,665674,27699,4.1610457972,59.46,11661.2
1362,"","13112","0","2010","2000","世田谷区",877138,841165,35973,4.2765688064,58.08,15102.2
1363,"","13113","0","2010","2000","渋谷区",204492,203334,1158,0.5695063295,15.11,13533.6
1364,"","13114","0","2010","2000","中野区",314750,310627,4123,1.3273153976,15.59,20189.2
1365,"","13115","0","2010","2000","杉並区",549569,528587,20982,3.9694506297,34.02,16154.3
1366,"","13116","0","2010","2000","豊島区",284678,250585,34093,13.6053634495,13.01,21881.5
1367,"","13117","0","2010","2000","北区",335544,330412,5132,1.5532123531,20.59,16296.5
1368,"","13118","0","2010","2000","荒川区",203296,191207,12089,6.3224672737,10.20,19931.0
1369,"","13119","0","2010","2000","板橋区",535824,523083,12741,2.4357511141,32.17,16656.0
1370,"","13120","0","2010","2000","練馬区",716124,692339,23785,3.4354557522,48.16,14869.7
1371,"","13121","0","2010","2000","足立区",683426,624807,58619,9.3819371422,53.20,12846.4
1372,"","13122","0","2010","2000","葛飾区",442586,424878,17708,4.1677846346,34.79,12721.6
1373,"","13123","0","2010","2000","江戸川区",678967,653944,25023,3.8264744382,49.76,13644.8
1374,"","13201","2","2010","2000","八王子市",580053,560012,20041,3.5786733141,186.31,3113.4
1375,"","13202","2","2010","2000","立川市",179668,172566,7102,4.1155268129,24.38,7369.5
1376,"","13203","2","2010","2000","武蔵野市",138734,137525,1209,0.8791128886,10.73,12929.5
1377,"","13204","2","2010","2000","三鷹市",186083,177016,9067,5.1221358521,16.50,11277.8
1378,"","13205","2","2010","2000","青梅市",139339,142354,-3015,-2.1179594532,103.26,1349.4
1379,"","13206","2","2010","2000","府中市",255506,245623,9883,4.0236459941,29.34,8708.5
1380,"","13207","2","2010","2000","昭島市",112297,110143,2154,1.9556394868,17.33,6479.9
1381,"","13208","2","2010","2000","調布市",223593,216119,7474,3.4582799291,21.53,10385.2
1382,"","13209","2","2010","2000","町田市",426987,405544,21443,5.2874657251,71.63,5961.0
1383,"","13210","2","2010","2000","小金井市",118852,114112,4740,4.1538137970,11.33,10490.0
1384,"","13211","2","2010","2000","小平市",187035,183796,3239,1.7622799190,20.46,9141.5
1385,"","13212","2","2010","2000","日野市",180052,176538,3514,1.9905062933,27.53,6540.2
1386,"","13213","2","2010","2000","東村山市",153557,144929,8628,5.9532598721,17.17,8943.3
1387,"","13214","2","2010","2000","国分寺市",120650,117604,3046,2.5900479576,11.48,10509.6
1388,"","13215","2","2010","2000","国立市",75510,72667,2843,3.9123673745,8.15,9265.0
1389,"","13218","2","2010","2000","福生市",59796,61074,-1278,-2.0925434719,10.24,5839.5
1390,"","13219","2","2010","2000","狛江市",78751,78319,432,0.5515902910,6.39,12324.1
1391,"","13220","2","2010","2000","東大和市",83068,79353,3715,4.6816125414,13.54,6135.0
1392,"","13221","2","2010","2000","清瀬市",74104,73529,575,0.7820043792,10.19,7272.2
1393,"","13222","2","2010","2000","東久留米市",116546,115330,1216,1.0543657331,12.92,9020.6
1394,"","13223","2","2010","2000","武蔵村山市",70053,66553,3500,5.2589665379,15.37,4557.8
1395,"","13224","2","2010","2000","多摩市",147648,145877,1771,1.2140364828,21.08,7004.2
1396,"","13225","2","2010","2000","稲城市",84835,76492,8343,10.9070229566,17.97,4720.9
1397,"","13227","2","2010","2000","羽村市",57032,56514,518,0.9165870404,9.91,5755.0
1398,"","13228","2","2010","2000","あきる野市",80868,79587,1281,1.6095593501,73.34,1102.6
1399,"","13229","2","2010","","西東京市",196511,189735,6776,3.5712968087,15.85,12398.2
1400,"","13229","9","","2000","　　(旧 216 田無市)",88234,83828,4406,5.2560003817,6.80,12975.6
1401,"","13229","9","","2000","　　(旧 217 保谷市)",108277,105907,2370,2.2378124203,9.05,11964.3
1402,"","13300","c","2010","2000","西多摩郡",58750,59303,-553,-0.9324991990,375.96,156.3
1403,"","13303","3","2010","2000","瑞穂町",33497,33691,-194,-0.5758214360,16.83,1990.3
1404,"","13305","3","2010","2000","日の出町",16650,15941,709,4.4476507120,28.08,592.9
1405,"","13307","3","2010","2000","檜原村",2558,2930,-372,-12.6962457338,105.42,24.3
1406,"","13308","3","2010","2000","奥多摩町",6045,6741,-696,-10.3248776146,225.63,26.8
1407,"","13360","c","2010","2000","大島支庁",13574,14239,-665,-4.6702717887,141.88,95.7
1408,"","13361","3","2010","2000","大島町",8461,8702,-241,-2.7694782809,91.06,92.9
1409,"","13362","3","2010","2000","利島村",341,308,33,10.7142857143,4.12,82.8
1410,"","13363","3","2010","2000","新島村",2883,3161,-278,-8.7946852262,27.83,103.6
1411,"","13364","3","2010","2000","神津島村",1889,2068,-179,-8.6557059961,18.87,100.1
1412,"","13380","c","2010","2000","三宅支庁",3024,2731,293,10.7286708166,76.08,39.7
1413,"","13381","3","2010","2000","三宅村",2676,2439,237,9.7170971710,55.50,48.2
1414,"","13382","3","2010","2000","御蔵島村",348,292,56,19.1780821918,20.58,16.9
1415,"","13400","c","2010","2000","八丈支庁",8432,9051,-619,-6.8390233123,83.41,101.1
1416,"","13401","3","2010","2000","八丈町",8231,8837,-606,-6.8575308363,72.62,113.3
1417,"","13402","3","2010","2000","青ヶ島村",201,214,-13,-6.0747663551,5.98,33.6
1418,"","13420","c","2010","2000","小笠原支庁",2785,2723,62,2.2769004774,104.41,26.7
1419,"","13421","3","2010","2000","小笠原村",2785,2723,62,2.2769004774,104.41,26.7
1420,"","14000","a","2010","2000","神奈川県",9048331,8791587,256744,2.9203373634,2415.86,3745.4
1421,"","14001","b","2010","2000","神奈川県 市部",8743087,8485980,257107,3.0297855993,1809.24,4832.5
1422,"","14002","b","2010","2000","神奈川県 郡部",305244,305607,-363,-0.1187800018,606.62,503.2
1423,"","14100","1","2010","2000","横浜市",3688773,3579628,109145,3.0490598464,437.38,8433.8
1424,"","14101","0","2010","2000","横浜市 鶴見区",272178,264548,7630,2.8841646884,33.23,8190.7
1425,"","14102","0","2010","2000","横浜市 神奈川区",233429,221845,11584,5.2216637743,23.88,9775.1
1426,"","14103","0","2010","2000","横浜市 西区",94867,84944,9923,11.6818139009,7.04,13475.4
1427,"","14104","0","2010","2000","横浜市 中区",146033,140167,5866,4.1850078835,20.86,7000.6
1428,"","14105","0","2010","2000","横浜市 南区",196153,196822,-669,-0.3399010273,12.67,15481.7
1429,"","14106","0","2010","2000","横浜市 保土ケ谷区",206634,204266,2368,1.1592727130,21.91,9431.0
1430,"","14107","0","2010","2000","横浜市 磯子区",163237,163525,-288,-0.1761198593,19.17,8515.2
1431,"","14108","0","2010","2000","横浜市 金沢区",209274,210658,-1384,-0.6569890533,31.01,6748.6
1432,"","14109","0","2010","2000","横浜市 港北区",329471,311722,17749,5.6938554225,31.40,10492.7
1433,"","14110","0","2010","2000","横浜市 戸塚区",274324,261616,12708,4.8575010703,35.81,7660.5
1434,"","14111","0","2010","2000","横浜市 港南区",221411,221837,-426,-0.1920328890,19.87,11143.0
1435,"","14112","0","2010","2000","横浜市 旭区",251086,249680,1406,0.5631207946,32.77,7662.1
1436,"","14113","0","2010","2000","横浜市 緑区",177631,169831,7800,4.5928010787,25.52,6960.5
1437,"","14114","0","2010","2000","横浜市 瀬谷区",126913,127405,-492,-0.3861700875,17.16,7395.9
1438,"","14115","0","2010","2000","横浜市 栄区",124866,123802,1064,0.8594368427,18.50,6749.5
1439,"","14116","0","2010","2000","横浜市 泉区",155698,152349,3349,2.1982421939,23.51,6622.6
1440,"","14117","0","2010","2000","横浜市 青葉区",304297,295603,8694,2.9411068223,35.14,8659.6
1441,"","14118","0","2010","2000","横浜市 都筑区",201271,179008,22263,12.4368743296,27.93,7206.3
1442,"","14130","1","2010","2000","川崎市",1425512,1327011,98501,7.4227719288,142.70,9989.6
1443,"","14131","0","2010","2000","川崎市 川崎区",217328,203804,13524,6.6357873251,39.21,5542.7
1444,"","14132","0","2010","2000","川崎市 幸区",154212,144487,9725,6.7307093372,10.05,15344.5
1445,"","14133","0","2010","2000","川崎市 中原区",233925,210543,23382,11.1055698836,14.70,15913.3
1446,"","14134","0","2010","2000","川崎市 高津区",217360,201792,15568,7.7148747225,16.36,13286.1
1447,"","14135","0","2010","2000","川崎市 多摩区",213894,205389,8505,4.1409228342,20.49,10438.9
1448,"","14136","0","2010","2000","川崎市 宮前区",218867,207895,10972,5.2776642055,18.61,11760.7
1449,"","14137","0","2010","2000","川崎市 麻生区",169926,153101,16825,10.9894775344,23.28,7299.2
1450,"","14150","1","2010","","相模原市",717544,701620,15924,2.2696046293,328.84,2182.0
1451,"","14150","9","","2000","　　(旧 209 相模原市)",646498,628688,17810,2.8328837197,90.41,7150.7
1452,"","14150","9","","2000","　　(旧 421 城山町)",23686,23067,619,2.6834872328,19.90,1190.3
1453,"","14150","9","","2000","　　(旧 422 津久井町)",27584,28695,-1111,-3.8717546611,122.04,226.0
1454,"","14150","9","","2000","　　(旧 423 相模湖町)",9596,10347,-751,-7.2581424568,31.59,303.8
1455,"","14150","9","","2000","　　(旧 424 藤野町)",10180,10823,-643,-5.9410514645,64.91,156.8
1456,"","14151","0","2010","","相模原市 緑区",176192,173843,2349,1.3512192035,253.81,694.2
1457,"","14152","0","2010","","相模原市 中央区",266988,259861,7127,2.7426200930,36.83,7249.2
1458,"","14153","0","2010","","相模原市 南区",274364,267916,6448,2.4067244957,38.20,7182.3
1459,"","14201","2","2010","2000","横須賀市",418325,426178,-7853,-1.8426572934,100.70,4154.2
1460,"","14203","2","2010","2000","平塚市",260780,258958,1822,0.7035889990,67.80,3846.3
1461,"","14204","2","2010","2000","鎌倉市",174314,171158,3156,1.8439103051,39.60,4401.9
1462,"","14205","2","2010","2000","藤沢市",409657,396014,13643,3.4450802244,69.51,5893.5
1463,"","14206","2","2010","2000","小田原市",198327,198741,-414,-0.2083113198,114.09,1738.3
1464,"","14207","2","2010","2000","茅ヶ崎市",235081,228420,6661,2.9161194291,35.71,6583.1
1465,"","14208","2","2010","2000","逗子市",58302,58033,269,0.4635293712,17.34,3362.3
1466,"","14210","2","2010","2000","三浦市",48352,49861,-1509,-3.0264134293,32.28,1497.9
1467,"","14211","2","2010","2000","秦野市",170145,168317,1828,1.0860459728,103.61,1642.2
1468,"","14212","2","2010","2000","厚木市",224420,222403,2017,0.9069122269,93.83,2391.8
1469,"","14213","2","2010","2000","大和市",228186,221220,6966,3.1489015460,27.06,8432.6
1470,"","14214","2","2010","2000","伊勢原市",101039,100579,460,0.4573519323,55.52,1819.9
1471,"","14215","2","2010","2000","海老名市",127707,123764,3943,3.1859022010,26.48,4822.8
1472,"","14216","2","2010","2000","座間市",129436,128174,1262,0.9845990607,17.58,7362.7
1473,"","14217","2","2010","2000","南足柄市",44020,44134,-114,-0.2583042552,76.93,572.2
1474,"","14218","2","2010","2000","綾瀬市",83167,81767,1400,1.7121821762,22.28,3732.8
1475,"","14300","c","2010","2000","三浦郡",32766,31531,1235,3.9167803114,17.06,1920.6
1476,"","14301","3","2010","2000","葉山町",32766,31531,1235,3.9167803114,17.06,1920.6
1477,"","14320","c","2010","2000","高座郡",47672,47457,215,0.4530417009,13.42,3552.3
1478,"","14321","3","2010","2000","寒川町",47672,47457,215,0.4530417009,13.42,3552.3
1479,"","14340","c","2010","2000","中郡",62554,62837,-283,-0.4503715964,26.29,2379.4
1480,"","14341","3","2010","2000","大磯町",33032,32590,442,1.3562442467,17.21,1919.3
1481,"","14342","3","2010","2000","二宮町",29522,30247,-725,-2.3969319271,9.08,3251.3
1482,"","14360","c","2010","2000","足柄上郡",67791,67880,-89,-0.1311137301,303.44,223.4
1483,"","14361","3","2010","2000","中井町",10010,10173,-163,-1.6022805465,20.02,500.0
1484,"","14362","3","2010","2000","大井町",17972,17530,442,2.5213918996,14.41,1247.2
1485,"","14363","3","2010","2000","松田町",11676,12399,-723,-5.8311154125,37.75,309.3
1486,"","14364","3","2010","2000","山北町",11764,12655,-891,-7.0406953773,224.70,52.4
1487,"","14366","3","2010","2000","開成町",16369,15123,1246,8.2391059975,6.56,2495.3
1488,"","14380","c","2010","2000","足柄下郡",48913,50350,-1437,-2.8540218471,140.83,347.3
1489,"","14382","3","2010","2000","箱根町",13853,14206,-353,-2.4848655498,92.82,149.2
1490,"","14383","3","2010","2000","真鶴町",8212,8714,-502,-5.7608446179,7.02,1169.8
1491,"","14384","3","2010","2000","湯河原町",26848,27430,-582,-2.1217644914,40.99,655.0
1492,"","14400","c","2010","2000","愛甲郡",45548,45552,-4,-0.0087811732,105.58,431.4
1493,"","14401","3","2010","2000","愛川町",42089,42045,44,0.1046497800,34.29,1227.4
1494,"","14402","3","2010","2000","清川村",3459,3507,-48,-1.3686911891,71.29,48.5
1495,"","15000","a","2010","2000","新潟県",2374450,2431459,-57009,-2.3446416329,12583.81,188.7
1496,"","15001","b","2010","2000","新潟県 市部",2290262,2343318,-53056,-2.2641399930,10628.60,215.5
1497,"","15002","b","2010","2000","新潟県 郡部",84188,88141,-3953,-4.4848594865,1955.21,43.1
1498,"","15100","1","2010","","新潟市",811901,813847,-1946,-0.2391112826,726.10,1118.2
1499,"","15100","9","","2000","　　(旧 201 新潟市)",502708,504741,-2033,-0.4027808321,205.94,2441.0
1500,"","15100","9","","2000","　　(旧 207 新津市)",67620,66951,669,0.9992382489,78.28,863.8
1501,"","15100","9","","2000","　　(旧 220 白根市)",38666,39625,-959,-2.4201892744,77.06,501.8
1502,"","15100","9","","2000","　　(旧 221 豊栄市)",49492,49308,184,0.3731645980,76.85,644.0
1503,"","15100","9","","2000","　　(旧 321 小須戸町)",9709,10099,-390,-3.8617684919,16.91,574.2
1504,"","15100","9","","2000","　　(旧 323 横越町)",11840,11563,277,2.3955720834,23.62,501.3
1505,"","15100","9","","2000","　　(旧 324 亀田町)",35018,32396,2622,8.0935918015,16.82,2081.9
1506,"","15100","9","","2000","　　(旧 341 岩室村)",9369,9759,-390,-3.9963110974,36.11,259.5
1507,"","15100","9","","2000","　　(旧 345 巻町)",27943,28713,-770,-2.6817121165,76.14,367.0
1508,"","15100","9","","2000","　　(旧 346 西川町)",11890,12327,-437,-3.5450636813,24.76,480.2
1509,"","15100","9","","2000","　　(旧 347 黒埼町)",27362,27300,62,0.2271062271,25.97,1053.6
1510,"","15100","9","","2000","　　(旧 348 味方村)",4615,4714,-99,-2.1001272804,14.44,319.6
1511,"","15100","9","","2000","　　(旧 349 潟東村)",5944,6249,-305,-4.8807809249,23.96,248.1
1512,"","15100","9","","2000","　　(旧 350 月潟村)",3668,3715,-47,-1.2651413190,9.04,405.8
1513,"","15100","9","","2000","　　(旧 351 中之口村)",6057,6387,-330,-5.1667449507,20.16,300.4
1514,"","15101","0","2010","","新潟市 北区",77621,78173,-552,-0.7061261561,107.92,719.2
1515,"","15102","0","2010","","新潟市 東区",138096,139565,-1469,-1.0525561566,38.77,3561.9
1516,"","15103","0","2010","","新潟市 中央区",180537,179784,753,0.4188359365,37.42,4824.6
1517,"","15104","0","2010","","新潟市 江南区",69365,67353,2012,2.9872462993,75.46,919.2
1518,"","15105","0","2010","","新潟市 秋葉区",77329,77050,279,0.3621025308,95.38,810.7
1519,"","15106","0","2010","","新潟市 南区",46949,48054,-1105,-2.2994963999,100.83,465.6
1520,"","15107","0","2010","","新潟市 西区",161264,160910,354,0.2199987571,93.81,1719.0
1521,"","15108","0","2010","","新潟市 西蒲区",60740,62958,-2218,-3.5229835764,176.51,344.1
1522,"","15202","2","2010","","長岡市",282674,288457,-5783,-2.0048048756,890.91,317.3
1523,"","15202","9","","2000","　　(旧 202 長岡市)",193917,195681,-1764,-0.9014671838,262.45,738.9
1524,"","15202","9","","2000","　　(旧 215 栃尾市)",21004,23168,-2164,-9.3404696133,204.92,102.5
1525,"","15202","9","","2000","　　(旧 364 中之島町)",12128,12382,-254,-2.0513648845,42.55,285.0
1526,"","15202","9","","2000","　　(旧 401 越路町)",14003,13958,45,0.3223957587,58.44,239.6
1527,"","15202","9","","2000","　　(旧 402 三島町)",7494,7553,-59,-0.7811465643,36.47,205.5
1528,"","15202","9","","2000","　　(旧 403 与板町)",6808,7273,-465,-6.3935102434,20.05,339.6
1529,"","15202","9","","2000","　　(旧 404 和島村)",4463,4803,-340,-7.0789090152,31.86,140.1
1530,"","15202","9","","2000","　　(旧 406 寺泊町)",10745,11636,-891,-7.6572705397,58.16,184.7
1531,"","15202","9","","2000","　　(旧 421 山古志村)",1181,10,1171,11710.0000000000,39.83,29.7
1532,"","15202","9","","2000","　　(旧 441 川口町)",4861,5233,-372,-7.1087330403,50.03,97.2
1533,"","15202","9","","2000","　　(旧 502 小国町)",6070,6760,-690,-10.2071005917,86.15,70.5
1534,"","15204","2","2010","","三条市",102292,104749,-2457,-2.3456071180,432.01,236.8
1535,"","15204","9","","2000","　　(旧 204 三条市)",80827,82085,-1258,-1.5325577146,75.83,1065.9
1536,"","15204","9","","2000","　　(旧 362 下田村)",10268,11160,-892,-7.9928315412,311.00,33.0
1537,"","15204","9","","2000","　　(旧 363 栄町)",11197,11504,-307,-2.6686369958,45.22,247.6
1538,"","15205","2","2010","","柏崎市",91451,94648,-3197,-3.3777787169,442.70,206.6
1539,"","15205","9","","2000","　　(旧 205 柏崎市)",83587,85903,-2316,-2.6960641654,319.29,261.8
1540,"","15205","9","","2000","　　(旧 501 高柳町)",1859,2241,-382,-17.0459616243,64.63,28.8
1541,"","15205","9","","2000","　　(旧 505 西山町)",6005,6504,-499,-7.6722017220,56.63,106.0
1542,"","15206","2","2010","","新発田市",101202,104634,-3432,-3.2800045874,532.82,189.9
1543,"","15206","9","","2000","　　(旧 206 新発田市)",77732,80183,-2451,-3.0567576668,433.59,179.3
1544,"","15206","9","","2000","　　(旧 306 豊浦町)",9380,9688,-308,-3.1791907514,35.95,260.9
1545,"","15206","9","","2000","　　(旧 308 加治川村)",6597,7044,-447,-6.3458262351,36.58,180.3
1546,"","15206","9","","2000","　　(旧 309 紫雲寺町)",7493,7719,-226,-2.9278403938,26.70,280.6
1547,"","15208","2","2010","2000","小千谷市",38600,39956,-1356,-3.3937331064,155.12,248.8
1548,"","15209","2","2010","2000","加茂市",29762,31482,-1720,-5.4634394257,133.68,222.6
1549,"","15210","2","2010","","十日町市",58911,62058,-3147,-5.0710625544,589.92,99.9
1550,"","15210","9","","2000","　　(旧 210 十日町市)",39884,41308,-1424,-3.4472741358,212.77,187.5
1551,"","15210","9","","2000","　　(旧 481 川西町)",7220,7756,-536,-6.9107787519,73.55,98.2
1552,"","15210","9","","2000","　　(旧 483 中里村)",5692,6187,-495,-8.0006465169,128.97,44.1
1553,"","15210","9","","2000","　　(旧 523 松代町)",3573,3923,-350,-8.9217435636,90.47,39.5
1554,"","15210","9","","2000","　　(旧 524 松之山町)",2542,2884,-342,-11.8585298197,86.31,29.5
1555,"","15211","2","2010","2000","見附市",41862,42668,-806,-1.8890034686,77.96,537.0
1556,"","15212","2","2010","","村上市",66427,70705,-4278,-6.0504914787,1174.24,56.6
1557,"","15212","9","","2000","　　(旧 212 村上市)",29186,30685,-1499,-4.8851230243,142.12,205.4
1558,"","15212","9","","2000","　　(旧 582 荒川町)",10678,11105,-427,-3.8451148131,36.71,290.9
1559,"","15212","9","","2000","　　(旧 583 神林村)",9385,10135,-750,-7.4000986680,82.18,114.2
1560,"","15212","9","","2000","　　(旧 584 朝日村)",10621,11489,-868,-7.5550526591,629.32,16.9
1561,"","15212","9","","2000","　　(旧 585 山北町)",6557,7291,-734,-10.0672061446,283.91,23.1
1562,"","15213","2","2010","","燕市",81876,83269,-1393,-1.6728914722,110.94,738.0
1563,"","15213","9","","2000","　　(旧 213 燕市)",43097,43255,-158,-0.3652756907,39.27,1097.5
1564,"","15213","9","","2000","　　(旧 343 分水町)",14555,15121,-566,-3.7431386813,39.61,367.5
1565,"","15213","9","","2000","　　(旧 344 吉田町)",24224,24893,-669,-2.6875025107,32.00,757.0
1566,"","15216","2","2010","","糸魚川市",47702,49844,-2142,-4.2974079127,746.24,63.9
1567,"","15216","9","","2000","　　(旧 216 糸魚川市)",29371,30277,-906,-2.9923704462,466.62,62.9
1568,"","15216","9","","2000","　　(旧 562 能生町)",9317,10078,-761,-7.5511014090,150.49,61.9
1569,"","15216","9","","2000","　　(旧 563 青海町)",9014,9489,-475,-5.0057961851,129.13,69.8
1570,"","15217","2","2010","","妙高市",35457,37831,-2374,-6.2752768893,445.52,79.6
1571,"","15217","9","","2000","　　(旧 217 新井市)",25783,27020,-1237,-4.5780903035,176.16,146.4
1572,"","15217","9","","2000","　　(旧 545 妙高高原町)",5406,6014,-608,-10.1097439308,128.57,42.0
1573,"","15217","9","","2000","　　(旧 547 妙高村)",4268,4797,-529,-11.0277256619,140.78,30.3
1574,"","15218","2","2010","","五泉市",54550,56962,-2412,-4.2344018820,351.87,155.0
1575,"","15218","9","","2000","　　(旧 218 五泉市)",36025,37282,-1257,-3.3716002360,98.80,364.6
1576,"","15218","9","","2000","　　(旧 322 村松町)",18525,19680,-1155,-5.8689024390,253.07,73.2
1577,"","15222","2","2010","","上越市",203899,208082,-4183,-2.0102651839,973.61,209.4
1578,"","15222","9","","2000","　　(旧 222 上越市)",134701,134313,388,0.2888774728,249.30,540.3
1579,"","15222","9","","2000","　　(旧 521 安塚町)",2878,3340,-462,-13.8323353293,70.23,41.0
1580,"","15222","9","","2000","　　(旧 522 浦川原村)",3769,4032,-263,-6.5228174603,50.64,74.4
1581,"","15222","9","","2000","　　(旧 525 大島村)",1927,2249,-322,-14.3174744331,71.64,26.9
1582,"","15222","9","","2000","　　(旧 526 牧村)",2322,2614,-292,-11.1706197399,61.35,37.8
1583,"","15222","9","","2000","　　(旧 541 柿崎町)",10660,11484,-824,-7.1752002786,85.39,124.8
1584,"","15222","9","","2000","　　(旧 542 大潟町)",9950,10401,-451,-4.3361215268,16.32,609.7
1585,"","15222","9","","2000","　　(旧 543 頸城村)",9499,9746,-247,-2.5343730761,38.30,248.0
1586,"","15222","9","","2000","　　(旧 544 吉川町)",4764,5142,-378,-7.3512252042,76.61,62.2
1587,"","15222","9","","2000","　　(旧 546 中郷村)",4303,4733,-430,-9.0851468413,43.56,98.8
1588,"","15222","9","","2000","　　(旧 548 板倉町)",7327,7517,-190,-2.5276040974,66.51,110.2
1589,"","15222","9","","2000","　　(旧 549 清里村)",3015,3152,-137,-4.3464467005,37.54,80.3
1590,"","15222","9","","2000","　　(旧 550 三和村)",5918,6190,-272,-4.3941841680,39.30,150.6
1591,"","15222","9","","2000","　　(旧 561 名立町)",2866,3169,-303,-9.5613758283,65.94,43.5
1592,"","15223","2","2010","","阿賀野市",45560,47043,-1483,-3.1524350063,192.72,236.4
1593,"","15223","9","","2000","　　(旧 301 安田町)",10079,10223,-144,-1.4085884770,40.91,246.4
1594,"","15223","9","","2000","　　(旧 302 京ケ瀬村)",7437,7831,-394,-5.0312859150,25.56,291.0
1595,"","15223","9","","2000","　　(旧 303 水原町)",19728,20175,-447,-2.2156133829,38.75,509.1
1596,"","15223","9","","2000","　　(旧 304 笹神村)",8316,8814,-498,-5.6501021103,87.50,95.0
1597,"","15224","2","2010","","佐渡市",62727,67386,-4659,-6.9138990295,855.31,73.3
1598,"","15224","9","","2000","　　(旧 219 両津市)",14723,15965,-1242,-7.7795176950,233.37,63.1
1599,"","15224","9","","2000","　　(旧 601 相川町)",7733,8601,-868,-10.0918497849,192.31,40.2
1600,"","15224","9","","2000","　　(旧 602 佐和田町)",9262,9966,-704,-7.0640176600,47.69,194.2
1601,"","15224","9","","2000","　　(旧 603 金井町)",6942,7088,-146,-2.0598194131,54.33,127.8
1602,"","15224","9","","2000","　　(旧 604 新穂村)",4089,4243,-154,-3.6295074240,63.31,64.6
1603,"","15224","9","","2000","　　(旧 605 畑野町)",4719,4965,-246,-4.9546827795,66.41,71.1
1604,"","15224","9","","2000","　　(旧 606 真野町)",5529,5943,-414,-6.9661786976,67.09,82.4
1605,"","15224","9","","2000","　　(旧 607 小木町)",3238,3547,-309,-8.7115872568,25.95,124.8
1606,"","15224","9","","2000","　　(旧 608 羽茂町)",3831,4125,-294,-7.1272727273,52.21,73.4
1607,"","15224","9","","2000","　　(旧 609 赤泊村)",2661,2943,-282,-9.5820591233,52.21,51.0
1608,"","15225","2","2010","","魚沼市",40361,43555,-3194,-7.3332568017,946.93,42.6
1609,"","15225","9","","2000","　　(旧 442 堀之内町)",8672,9178,-506,-5.5131837002,69.00,125.7
1610,"","15225","9","","2000","　　(旧 443 小出町)",11774,12618,-844,-6.6888571881,30.04,391.9
1611,"","15225","9","","2000","　　(旧 444 湯之谷村)",6158,6547,-389,-5.9416526653,350.08,17.6
1612,"","15225","9","","2000","　　(旧 445 広神村)",8128,8860,-732,-8.2618510158,105.64,76.9
1613,"","15225","9","","2000","　　(旧 446 守門村)",4037,4519,-482,-10.6660765656,120.03,33.6
1614,"","15225","9","","2000","　　(旧 447 入広瀬村)",1592,1833,-241,-13.1478450627,272.14,5.8
1615,"","15226","2","2010","","南魚沼市",61624,63329,-1705,-2.6922894724,584.82,105.4
1616,"","15226","9","","2000","　　(旧 462 塩沢町)",19011,19609,-598,-3.0496200724,190.12,100.0
1617,"","15226","9","","2000","　　(旧 463 六日町)",27885,28521,-636,-2.2299358368,263.79,105.7
1618,"","15226","9","","2000","　　(旧 464 大和町)",14728,15199,-471,-3.0988880847,130.91,112.5
1619,"","15227","2","2010","","胎内市",31424,32813,-1389,-4.2330783531,265.18,118.5
1620,"","15227","9","","2000","　　(旧 310 中条町)",25645,26704,-1059,-3.9656980228,84.58,303.2
1621,"","15227","9","","2000","　　(旧 311 黒川村)",5779,6109,-330,-5.4018660992,180.60,32.0
1622,"","15300","c","2010","2000","北蒲原郡",13724,13497,227,1.6818552271,37.99,361.3
1623,"","15307","3","2010","2000","聖籠町",13724,13497,227,1.6818552271,37.99,361.3
1624,"","15340","c","2010","2000","西蒲原郡",8582,8545,37,0.4330017554,25.16,341.1
1625,"","15342","3","2010","2000","弥彦村",8582,8545,37,0.4330017554,25.16,341.1
1626,"","15360","c","2010","2000","南蒲原郡",12791,13363,-572,-4.2804759410,31.77,402.6
1627,"","15361","3","2010","2000","田上町",12791,13363,-572,-4.2804759410,31.77,402.6
1628,"","15380","c","2010","2000","東蒲原郡",13303,14703,-1400,-9.5218662858,952.88,14.0
1629,"","15385","3","2010","","阿賀町",13303,14703,-1400,-9.5218662858,952.88,14.0
